time,V,I1,I2
0.000000,0.000000,0.000000,2.000000
0.000500,12.497396,0.000833,1.999167
0.001000,24.989588,0.001666,1.998334
0.001500,37.476574,0.002498,1.997502
0.002000,49.958359,0.003331,1.996669
0.002500,62.434944,0.004162,1.995838
0.003000,74.906326,0.004994,1.995006
0.003500,87.372520,0.005825,1.994175
0.004000,99.833519,0.006656,1.993344
0.004500,112.289330,0.007486,1.992514
0.005000,124.739944,0.008316,1.991684
0.005500,137.185379,0.009146,1.990854
0.006000,149.625626,0.009975,1.990025
0.006500,162.060699,0.010804,1.989196
0.007000,174.490585,0.011633,1.988367
0.007500,186.915283,0.012461,1.987539
0.008000,199.334824,0.013289,1.986711
0.008500,211.749176,0.014117,1.985883
0.009000,224.158356,0.014944,1.985056
0.009500,236.562378,0.015771,1.984229
0.010000,248.961227,0.016597,1.983403
0.010500,261.354919,0.017424,1.982576
0.011000,273.743439,0.018250,1.981750
0.011500,286.126801,0.019075,1.980925
0.012000,298.505005,0.019900,1.980100
0.012500,310.878052,0.020725,1.979275
0.013000,323.245941,0.021550,1.978450
0.013500,335.608673,0.022374,1.977626
0.014000,347.966248,0.023198,1.976802
0.014500,360.318695,0.024021,1.975979
0.015000,372.665985,0.024844,1.975156
0.015500,385.008148,0.025667,1.974333
0.016000,397.345154,0.026490,1.973510
0.016500,409.677032,0.027312,1.972688
0.017000,422.003754,0.028134,1.971866
0.017500,434.325348,0.028955,1.971045
0.018000,446.641815,0.029776,1.970224
0.018500,458.953156,0.030597,1.969403
0.019000,471.259369,0.031417,1.968583
0.019500,483.560455,0.032237,1.967763
0.020000,495.856384,0.033057,1.966943
0.020500,508.147217,0.033876,1.966123
0.021000,520.432922,0.034696,1.965304
0.021500,532.713562,0.035514,1.964486
0.022000,544.989014,0.036333,1.963667
0.022500,557.259399,0.037151,1.962849
0.023000,569.524658,0.037968,1.962032
0.023500,581.784790,0.038786,1.961214
0.024000,594.039795,0.039603,1.960397
0.024500,606.289734,0.040419,1.959581
0.025000,618.534546,0.041236,1.958764
0.025500,630.774292,0.042052,1.957948
0.026000,643.008911,0.042867,1.957133
0.026500,655.238464,0.043683,1.956317
0.027000,667.462891,0.044498,1.955503
0.027500,679.682251,0.045312,1.954688
0.028000,691.896484,0.046126,1.953874
0.028500,704.105652,0.046940,1.953060
0.029000,716.309753,0.047754,1.952246
0.029500,728.508728,0.048567,1.951433
0.030000,740.702637,0.049380,1.950620
0.030500,752.891479,0.050193,1.949807
0.031000,765.075256,0.051005,1.948995
0.031500,777.253906,0.051817,1.948183
0.032000,789.427551,0.052629,1.947371
0.032500,801.596069,0.053440,1.946560
0.033000,813.759521,0.054251,1.945749
0.033500,825.917969,0.055061,1.944939
0.034000,838.071289,0.055871,1.944129
0.034500,850.219543,0.056681,1.943319
0.035000,862.362793,0.057491,1.942509
0.035500,874.500916,0.058300,1.941700
0.036000,886.634033,0.059109,1.940891
0.036500,898.762085,0.059917,1.940083
0.037000,910.885071,0.060726,1.939274
0.037500,923.002991,0.061534,1.938466
0.038000,935.115906,0.062341,1.937659
0.038500,947.223755,0.063148,1.936852
0.039000,959.326538,0.063955,1.936045
0.039500,971.424316,0.064762,1.935238
0.040000,983.517029,0.065568,1.934432
0.040500,995.604675,0.066374,1.933626
0.041000,1007.687317,0.067179,1.932821
0.041500,1019.764954,0.067984,1.932016
0.042000,1031.837524,0.068789,1.931211
0.042500,1043.905151,0.069594,1.930406
0.043000,1055.967651,0.070398,1.929602
0.043500,1068.025146,0.071202,1.928798
0.044000,1080.077637,0.072005,1.927995
0.044500,1092.125000,0.072808,1.927192
0.045000,1104.167480,0.073611,1.926389
0.045500,1116.204956,0.074414,1.925586
0.046000,1128.237305,0.075216,1.924784
0.046500,1140.264771,0.076018,1.923982
0.047000,1152.287109,0.076819,1.923181
0.047500,1164.304443,0.077620,1.922380
0.048000,1176.316895,0.078421,1.921579
0.048500,1188.324219,0.079222,1.920778
0.049000,1200.326538,0.080022,1.919978
0.049500,1212.323975,0.080822,1.919178
0.050000,1224.316284,0.081621,1.918379
0.050500,1236.303711,0.082420,1.917580
0.051000,1248.286011,0.083219,1.916781
0.051500,1260.263428,0.084018,1.915982
0.052000,1272.235840,0.084816,1.915184
0.052500,1284.203247,0.085614,1.914387
0.053000,1296.165649,0.086411,1.913589
0.053500,1308.123169,0.087208,1.912792
0.054000,1320.075562,0.088005,1.911995
0.054500,1332.023071,0.088802,1.911198
0.055000,1343.965576,0.089598,1.910402
0.055500,1355.903076,0.090394,1.909606
0.056000,1367.835693,0.091189,1.908811
0.056500,1379.763184,0.091984,1.908016
0.057000,1391.685791,0.092779,1.907221
0.057500,1403.603516,0.093574,1.906426
0.058000,1415.516113,0.094368,1.905632
0.058500,1427.423950,0.095162,1.904838
0.059000,1439.326660,0.095955,1.904045
0.059500,1451.224487,0.096748,1.903252
0.060000,1463.117310,0.097541,1.902459
0.060500,1475.005249,0.098334,1.901666
0.061000,1486.888184,0.099126,1.900874
0.061500,1498.766113,0.099918,1.900082
0.062000,1510.639160,0.100709,1.899291
0.062500,1522.507202,0.101500,1.898499
0.063000,1534.370361,0.102291,1.897709
0.063500,1546.228638,0.103082,1.896918
0.064000,1558.081909,0.103872,1.896128
0.064500,1569.930176,0.104662,1.895338
0.065000,1581.773560,0.105452,1.894548
0.065500,1593.612061,0.106241,1.893759
0.066000,1605.445557,0.107030,1.892970
0.066500,1617.274170,0.107818,1.892182
0.067000,1629.097900,0.108607,1.891393
0.067500,1640.916626,0.109394,1.890606
0.068000,1652.730469,0.110182,1.889818
0.068500,1664.539307,0.110969,1.889031
0.069000,1676.343384,0.111756,1.888244
0.069500,1688.142456,0.112543,1.887457
0.070000,1699.936523,0.113329,1.886671
0.070500,1711.725830,0.114115,1.885885
0.071000,1723.510132,0.114901,1.885099
0.071500,1735.289551,0.115686,1.884314
0.072000,1747.064087,0.116471,1.883529
0.072500,1758.833618,0.117256,1.882744
0.073000,1770.598389,0.118040,1.881960
0.073500,1782.358154,0.118824,1.881176
0.074000,1794.113037,0.119608,1.880392
0.074500,1805.863037,0.120391,1.879609
0.075000,1817.608154,0.121174,1.878826
0.075500,1829.348389,0.121957,1.878043
0.076000,1841.083740,0.122739,1.877261
0.076500,1852.814087,0.123521,1.876479
0.077000,1864.539673,0.124303,1.875697
0.077500,1876.260376,0.125084,1.874916
0.078000,1887.976196,0.125865,1.874135
0.078500,1899.687012,0.126646,1.873354
0.079000,1911.393066,0.127426,1.872574
0.079500,1923.094238,0.128206,1.871794
0.080000,1934.790527,0.128986,1.871014
0.080500,1946.481934,0.129765,1.870234
0.081000,1958.168457,0.130545,1.869455
0.081500,1969.850098,0.131323,1.868677
0.082000,1981.526855,0.132102,1.867898
0.082500,1993.198853,0.132880,1.867120
0.083000,2004.865845,0.133658,1.866342
0.083500,2016.528076,0.134435,1.865565
0.084000,2028.185425,0.135212,1.864788
0.084500,2039.837891,0.135989,1.864011
0.085000,2051.485596,0.136766,1.863234
0.085500,2063.128418,0.137542,1.862458
0.086000,2074.766357,0.138318,1.861682
0.086500,2086.399414,0.139093,1.860907
0.087000,2098.027588,0.139869,1.860132
0.087500,2109.651123,0.140643,1.859357
0.088000,2121.269531,0.141418,1.858582
0.088500,2132.883301,0.142192,1.857808
0.089000,2144.492188,0.142966,1.857034
0.089500,2156.096191,0.143740,1.856260
0.090000,2167.695557,0.144513,1.855487
0.090500,2179.289795,0.145286,1.854714
0.091000,2190.879395,0.146059,1.853941
0.091500,2202.464111,0.146831,1.853169
0.092000,2214.043945,0.147603,1.852397
0.092500,2225.619141,0.148375,1.851625
0.093000,2237.189209,0.149146,1.850854
0.093500,2248.754639,0.149917,1.850083
0.094000,2260.315430,0.150688,1.849312
0.094500,2271.871094,0.151458,1.848542
0.095000,2283.422119,0.152228,1.847772
0.095500,2294.968262,0.152998,1.847002
0.096000,2306.509766,0.153767,1.846233
0.096500,2318.046143,0.154536,1.845464
0.097000,2329.577881,0.155305,1.844695
0.097500,2341.104980,0.156074,1.843926
0.098000,2352.626953,0.156842,1.843158
0.098500,2364.144287,0.157610,1.842390
0.099000,2375.656982,0.158377,1.841623
0.099500,2387.164551,0.159144,1.840856
0.100000,2398.667725,0.159911,1.840089
0.100500,2410.165771,0.160678,1.839322
0.101000,2421.659180,0.161444,1.838556
0.101500,2433.147705,0.162210,1.837790
0.102000,2444.631592,0.162975,1.837025
0.102500,2456.110596,0.163741,1.836259
0.103000,2467.584717,0.164506,1.835494
0.103500,2479.054199,0.165270,1.834730
0.104000,2490.518799,0.166035,1.833965
0.104500,2501.978760,0.166799,1.833201
0.105000,2513.433838,0.167562,1.832438
0.105500,2524.884277,0.168326,1.831674
0.106000,2536.329834,0.169089,1.830911
0.106500,2547.770752,0.169851,1.830149
0.107000,2559.206787,0.170614,1.829386
0.107500,2570.637939,0.171376,1.828624
0.108000,2582.064453,0.172138,1.827862
0.108500,2593.486328,0.172899,1.827101
0.109000,2604.903320,0.173660,1.826340
0.109500,2616.315430,0.174421,1.825579
0.110000,2627.722900,0.175182,1.824818
0.110500,2639.125732,0.175942,1.824058
0.111000,2650.523682,0.176702,1.823298
0.111500,2661.916992,0.177461,1.822539
0.112000,2673.305420,0.178220,1.821780
0.112500,2684.689209,0.178979,1.821021
0.113000,2696.068115,0.179738,1.820262
0.113500,2707.442383,0.180496,1.819504
0.114000,2718.812012,0.181254,1.818746
0.114500,2730.176758,0.182012,1.817988
0.115000,2741.536865,0.182769,1.817231
0.115500,2752.892334,0.183526,1.816474
0.116000,2764.242920,0.184283,1.815717
0.116500,2775.588623,0.185039,1.814961
0.117000,2786.929932,0.185795,1.814205
0.117500,2798.266357,0.186551,1.813449
0.118000,2809.597900,0.187307,1.812693
0.118500,2820.924805,0.188062,1.811938
0.119000,2832.247070,0.188816,1.811184
0.119500,2843.564697,0.189571,1.810429
