time,Va,Vb,Vc,I1,I2,I3
0.000000,220.000000,108.450706,0.000007,0.037183,0.021690,0.015493
0.000500,220.000000,108.450706,0.000000,0.037183,0.021690,0.015493
0.001000,220.000000,108.613777,0.771888,0.037129,0.021723,0.015406
0.001500,220.000000,108.776184,1.540595,0.037075,0.021755,0.015319
0.002000,220.000000,108.937912,2.306122,0.037021,0.021788,0.015233
0.002500,220.000000,109.098969,3.068468,0.036967,0.021820,0.015147
0.003000,220.000000,109.259361,3.827634,0.036914,0.021852,0.015062
0.003500,220.000000,109.419075,4.583622,0.036860,0.021884,0.014976
0.004000,220.000000,109.578117,5.336432,0.036807,0.021916,0.014892
0.004500,220.000000,109.736496,6.086063,0.036755,0.021947,0.014807
0.005000,220.000000,109.894196,6.832520,0.036702,0.021979,0.014723
0.005500,220.000000,110.051224,7.575800,0.036650,0.022010,0.014639
0.006000,220.000000,110.207588,8.315908,0.036597,0.022042,0.014556
0.006500,220.000000,110.363274,9.052844,0.036546,0.022073,0.014473
0.007000,220.000000,110.518295,9.786610,0.036494,0.022104,0.014390
0.007500,220.000000,110.672646,10.517206,0.036442,0.022135,0.014308
0.008000,220.000000,110.826332,11.244637,0.036391,0.022165,0.014226
0.008500,220.000000,110.979347,11.968904,0.036340,0.022196,0.014144
0.009000,220.000000,111.131691,12.690010,0.036289,0.022226,0.014063
0.009500,220.000000,111.283371,13.407955,0.036239,0.022257,0.013982
0.010000,220.000000,111.434380,14.122745,0.036189,0.022287,0.013902
0.010500,220.000000,111.584724,14.834379,0.036138,0.022317,0.013821
0.011000,220.000000,111.734406,15.542863,0.036089,0.022347,0.013742
0.011500,220.000000,111.883423,16.248198,0.036039,0.022377,0.013662
0.012000,220.000000,112.031769,16.950388,0.035989,0.022406,0.013583
0.012500,220.000000,112.179459,17.649435,0.035940,0.022436,0.013504
0.013000,220.000000,112.326485,18.345346,0.035891,0.022465,0.013426
0.013500,220.000000,112.472839,19.038120,0.035842,0.022495,0.013348
0.014000,220.000000,112.618538,19.727762,0.035794,0.022524,0.013270
0.014500,220.000000,112.763580,20.414278,0.035745,0.022553,0.013193
0.015000,220.000000,112.907959,21.097670,0.035697,0.022582,0.013116
0.015500,220.000000,113.051682,21.777943,0.035649,0.022610,0.013039
0.016000,220.000000,113.194740,22.455099,0.035602,0.022639,0.012963
0.016500,220.000000,113.337143,23.129143,0.035554,0.022667,0.012887
0.017000,220.000000,113.478889,23.800079,0.035507,0.022696,0.012811
0.017500,220.000000,113.619980,24.467915,0.035460,0.022724,0.012736
0.018000,220.000000,113.760422,25.132650,0.035413,0.022752,0.012661
0.018500,220.000000,113.900200,25.794296,0.035367,0.022780,0.012587
0.019000,220.000000,114.039337,26.452848,0.035320,0.022808,0.012512
0.019500,220.000000,114.177818,27.108322,0.035274,0.022836,0.012438
0.020000,220.000000,114.315643,27.760715,0.035228,0.022863,0.012365
0.020500,220.000000,114.452827,28.410034,0.035182,0.022891,0.012292
0.021000,220.000000,114.589355,29.056286,0.035137,0.022918,0.012219
0.021500,220.000000,114.725243,29.699474,0.035092,0.022945,0.012147
0.022000,220.000000,114.860481,30.339605,0.035047,0.022972,0.012074
0.022500,220.000000,114.995071,30.976685,0.035002,0.022999,0.012003
0.023000,220.000000,115.129028,31.610718,0.034957,0.023026,0.011931
0.023500,220.000000,115.262337,32.241711,0.034913,0.023052,0.011860
0.024000,220.000000,115.395004,32.869671,0.034868,0.023079,0.011789
0.024500,220.000000,115.527031,33.494602,0.034824,0.023105,0.011719
0.025000,220.000000,115.658417,34.116508,0.034781,0.023132,0.011649
0.025500,220.000000,115.789169,34.735401,0.034737,0.023158,0.011579
0.026000,220.000000,115.919281,35.351280,0.034694,0.023184,0.011510
0.026500,220.000000,116.048767,35.964157,0.034650,0.023210,0.011441
0.027000,220.000000,116.177612,36.574039,0.034607,0.023236,0.011372
0.027500,220.000000,116.305832,37.180931,0.034565,0.023261,0.011304
0.028000,220.000000,116.433418,37.784836,0.034522,0.023287,0.011236
0.028500,220.000000,116.560371,38.385765,0.034480,0.023312,0.011168
0.029000,220.000000,116.686699,38.983723,0.034438,0.023337,0.011100
0.029500,220.000000,116.812408,39.578716,0.034396,0.023362,0.011033
0.030000,220.000000,116.937485,40.170753,0.034354,0.023387,0.010967
0.030500,220.000000,117.061935,40.759842,0.034313,0.023412,0.010900
0.031000,220.000000,117.185768,41.345985,0.034271,0.023437,0.010834
0.031500,220.000000,117.308983,41.929192,0.034230,0.023462,0.010769
0.032000,220.000000,117.431580,42.509472,0.034189,0.023486,0.010703
0.032500,220.000000,117.553558,43.086834,0.034149,0.023511,0.010638
0.033000,220.000000,117.674919,43.661282,0.034108,0.023535,0.010573
0.033500,220.000000,117.795670,44.232822,0.034068,0.023559,0.010509
0.034000,220.000000,117.915802,44.801464,0.034028,0.023583,0.010445
0.034500,220.000000,118.035324,45.367214,0.033988,0.023607,0.010381
0.035000,220.000000,118.154243,45.930080,0.033949,0.023631,0.010318
0.035500,220.000000,118.272552,46.490074,0.033909,0.023655,0.010255
0.036000,220.000000,118.390251,47.047199,0.033870,0.023678,0.010192
0.036500,220.000000,118.507347,47.601460,0.033831,0.023701,0.010129
0.037000,220.000000,118.623848,48.152874,0.033792,0.023725,0.010067
0.037500,220.000000,118.739738,48.701447,0.033753,0.023748,0.010005
0.038000,220.000000,118.855034,49.247177,0.033715,0.023771,0.009944
0.038500,220.000000,118.969734,49.790081,0.033677,0.023794,0.009883
0.039000,220.000000,119.083839,50.330170,0.033639,0.023817,0.009822
0.039500,220.000000,119.197350,50.867447,0.033601,0.023839,0.009761
0.040000,220.000000,119.310265,51.401920,0.033563,0.023862,0.009701
