time,Va,Vb,Vc,Vd,I1,I2,I3
0.000000,76.604446,45.962666,-4.550759,-0.765832,0.006128,0.005051,0.001077
0.000500,79.721313,47.832787,-4.706331,-0.795332,0.006378,0.005254,0.001124
0.001000,82.638908,49.583344,-4.835706,-0.820658,0.006611,0.005442,0.001169
0.001500,85.349960,51.209976,-4.937592,-0.841556,0.006828,0.005615,0.001213
0.002000,87.847679,52.708607,-5.010969,-0.857819,0.007028,0.005772,0.001256
0.002500,90.125816,54.075489,-5.055105,-0.869283,0.007210,0.005913,0.001297
0.003000,92.178696,55.307217,-5.069561,-0.875833,0.007374,0.006038,0.001337
0.003500,94.001175,56.400703,-5.054189,-0.877405,0.007520,0.006145,0.001375
0.004000,95.588699,57.353218,-5.009146,-0.873983,0.007647,0.006236,0.001411
0.004500,96.937302,58.162380,-4.934880,-0.865601,0.007755,0.006310,0.001445
0.005000,98.043610,58.826164,-4.832133,-0.852343,0.007843,0.006366,0.001478
0.005500,98.904861,59.342918,-4.701932,-0.834340,0.007912,0.006404,0.001508
0.006000,99.518898,59.711338,-4.545578,-0.811774,0.007962,0.006426,0.001536
0.006500,99.884193,59.930515,-4.364634,-0.784869,0.007991,0.006430,0.001561
0.007000,99.999825,59.999893,-4.160906,-0.753894,0.008000,0.006416,0.001584
0.007500,99.865517,59.919312,-3.936432,-0.719160,0.007989,0.006386,0.001604
0.008000,99.481590,59.688953,-3.693452,-0.681012,0.007959,0.006338,0.001620
0.008500,98.849022,59.309414,-3.434397,-0.639832,0.007908,0.006274,0.001634
0.009000,97.969376,58.781624,-3.161854,-0.596031,0.007838,0.006194,0.001643
0.009500,96.844856,58.106915,-2.878545,-0.550048,0.007748,0.006099,0.001649
0.010000,95.478271,57.286964,-2.587302,-0.502341,0.007638,0.005987,0.001651
0.010500,93.873047,56.323830,-2.291035,-0.453388,0.007510,0.005861,0.001648
0.011000,92.033188,55.219913,-1.992703,-0.403677,0.007363,0.005721,0.001641
0.011500,89.963295,53.977978,-1.695288,-0.353705,0.007197,0.005567,0.001630
0.012000,87.668533,52.601120,-1.401762,-0.303971,0.007013,0.005400,0.001613
0.012500,85.154655,51.092793,-1.115057,-0.254972,0.006812,0.005221,0.001592
0.013000,82.427925,49.456757,-0.838037,-0.207199,0.006594,0.005029,0.001565
0.013500,79.495178,47.697105,-0.573472,-0.161127,0.006360,0.004827,0.001533
0.014000,76.363724,45.818233,-0.324003,-0.117219,0.006109,0.004614,0.001495
0.014500,73.041412,43.824848,-0.092126,-0.075911,0.005843,0.004392,0.001452
0.015000,69.536530,41.721916,0.119846,-0.037617,0.005563,0.004160,0.001403
0.015500,65.857841,39.514706,0.309793,-0.002720,0.005269,0.003920,0.001348
0.016000,62.014538,37.208721,0.475818,0.028431,0.004961,0.003673,0.001288
0.016500,58.016239,34.809742,0.616261,0.055527,0.004641,0.003419,0.001222
0.017000,53.872921,32.323753,0.729720,0.078295,0.004310,0.003159,0.001150
0.017500,49.594959,29.756975,0.815060,0.096508,0.003968,0.002894,0.001073
0.018000,45.193035,27.115822,0.871430,0.109984,0.003615,0.002624,0.000991
0.018500,40.678139,24.406883,0.898265,0.118589,0.003254,0.002351,0.000903
0.019000,36.061584,21.636951,0.895298,0.122237,0.002885,0.002074,0.000811
0.019500,31.354879,18.812927,0.862557,0.120891,0.002508,0.001795,0.000713
0.020000,26.569815,15.941889,0.800372,0.114564,0.002126,0.001514,0.000611
0.020500,21.718342,13.031005,0.709363,0.103321,0.001737,0.001232,0.000505
0.021000,16.812584,10.087550,0.590438,0.087272,0.001345,0.000950,0.000395
0.021500,11.864779,7.118867,0.444787,0.066579,0.000949,0.000667,0.000282
0.022000,6.887341,4.132405,0.273864,0.041449,0.000551,0.000386,0.000165
0.022500,1.892690,1.135614,0.079378,0.012131,0.000151,0.000106,0.000046
0.023000,-3.106693,-1.864016,-0.136728,-0.021079,-0.000249,-0.000173,-0.000076
0.023500,-8.098310,-4.858986,-0.372295,-0.057852,-0.000648,-0.000449,-0.000199
0.024000,-13.069709,-7.841825,-0.624970,-0.097819,-0.001046,-0.000722,-0.000324
0.024500,-18.008417,-10.805050,-0.892227,-0.140582,-0.001441,-0.000991,-0.000449
